name,note,8v,#/b,clef,score_image_front,score_image_back,keyboard_full_image_front,keyboard_full_image_back,keyboard_octave_image,keyboard_blank_image,sound_file,piano_key#,order,tags
G1 bass,G,1,,bass,"<img src=""piano-score-front-014-11-1-bass-G1.png""/>","<img src=""piano-score-back-014-11-1-bass-G1.png""/>","<img src=""piano-keyboard-front-11-1-G1.png""/>","<img src=""piano-keyboard-back-11-1-G1.png""/>","<img src=""piano-keyboard-octave-back-G.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-014-11-1-bass-G1.mp3],11,4,
G1# bass,G,1,#,bass,"<img src=""piano-score-front-015-12-1-bass-G1#.png""/>","<img src=""piano-score-back-015-12-1-bass-G1#.png""/>","<img src=""piano-keyboard-front-12-1-G1#-A1b.png""/>","<img src=""piano-keyboard-back-12-1-G1#-A1b.png""/>","<img src=""piano-keyboard-octave-back-G#-Ab.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-015-12-1-bass-G1#.mp3],12,4,
A1b bass,A,1,b,bass,"<img src=""piano-score-front-019-12-1-bass-A1b.png""/>","<img src=""piano-score-back-019-12-1-bass-A1b.png""/>","<img src=""piano-keyboard-front-12-1-G1#-A1b.png""/>","<img src=""piano-keyboard-back-12-1-G1#-A1b.png""/>","<img src=""piano-keyboard-octave-back-G#-Ab.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-019-12-1-bass-A1b.mp3],12,4,
A1 bass,A,1,,bass,"<img src=""piano-score-front-017-13-1-bass-A1.png""/>","<img src=""piano-score-back-017-13-1-bass-A1.png""/>","<img src=""piano-keyboard-front-13-1-A1.png""/>","<img src=""piano-keyboard-back-13-1-A1.png""/>","<img src=""piano-keyboard-octave-back-A.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-017-13-1-bass-A1.mp3],13,4,
A1# bass,A,1,#,bass,"<img src=""piano-score-front-018-14-1-bass-A1#.png""/>","<img src=""piano-score-back-018-14-1-bass-A1#.png""/>","<img src=""piano-keyboard-front-14-1-A1#-B1b.png""/>","<img src=""piano-keyboard-back-14-1-A1#-B1b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-018-14-1-bass-A1#.mp3],14,4,
B1b bass,B,1,b,bass,"<img src=""piano-score-front-021-14-1-bass-B1b.png""/>","<img src=""piano-score-back-021-14-1-bass-B1b.png""/>","<img src=""piano-keyboard-front-14-1-A1#-B1b.png""/>","<img src=""piano-keyboard-back-14-1-A1#-B1b.png""/>","<img src=""piano-keyboard-octave-back-A#-Bb.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-021-14-1-bass-B1b.mp3],14,4,
B1 bass,B,1,,bass,"<img src=""piano-score-front-020-15-1-bass-B1.png""/>","<img src=""piano-score-back-020-15-1-bass-B1.png""/>","<img src=""piano-keyboard-front-15-1-B1.png""/>","<img src=""piano-keyboard-back-15-1-B1.png""/>","<img src=""piano-keyboard-octave-back-B.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-020-15-1-bass-B1.mp3],15,4,
C2 bass,C,2,,bass,"<img src=""piano-score-front-022-16-2-bass-C2.png""/>","<img src=""piano-score-back-022-16-2-bass-C2.png""/>","<img src=""piano-keyboard-front-16-2-C2.png""/>","<img src=""piano-keyboard-back-16-2-C2.png""/>","<img src=""piano-keyboard-octave-back-C.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-022-16-2-bass-C2.mp3],16,2,
C2# bass,C,2,#,bass,"<img src=""piano-score-front-023-17-2-bass-C2#.png""/>","<img src=""piano-score-back-023-17-2-bass-C2#.png""/>","<img src=""piano-keyboard-front-17-2-C2#-D2b.png""/>","<img src=""piano-keyboard-back-17-2-C2#-D2b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-023-17-2-bass-C2#.mp3],17,2,
D2b bass,D,2,b,bass,"<img src=""piano-score-front-026-17-2-bass-D2b.png""/>","<img src=""piano-score-back-026-17-2-bass-D2b.png""/>","<img src=""piano-keyboard-front-17-2-C2#-D2b.png""/>","<img src=""piano-keyboard-back-17-2-C2#-D2b.png""/>","<img src=""piano-keyboard-octave-back-C#-Db.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-026-17-2-bass-D2b.mp3],17,2,
D2 bass,D,2,,bass,"<img src=""piano-score-front-024-18-2-bass-D2.png""/>","<img src=""piano-score-back-024-18-2-bass-D2.png""/>","<img src=""piano-keyboard-front-18-2-D2.png""/>","<img src=""piano-keyboard-back-18-2-D2.png""/>","<img src=""piano-keyboard-octave-back-D.png""/>","<img src=""piano-keyboard-00-blank.png""/>",[sound:piano-audio-024-18-2-bass-D2.mp3],18,2,
